,title,link,year,rating,runtime_mins,genres,votes,metascore,gross,synopsis
585,Dunkirk,https://www.imdb.com//title/tt5013056/,2017,7.8,106,"['Action', 'Drama', 'History']",577990,94.0,$188.37M,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
586,Perfect Strangers,https://www.imdb.com//title/tt4901306/,2016,7.8,96,"['Comedy', 'Drama']",59235,,,"Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles."
587,Hidden Figures,https://www.imdb.com//title/tt4846340/,2016,7.8,127,"['Biography', 'Drama', 'History']",207822,74.0,$169.61M,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
588,Paddington 2,https://www.imdb.com//title/tt4468740/,2017,7.8,103,"['Animation', 'Adventure', 'Comedy']",65446,88.0,$40.44M,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen."
589,Udta Punjab,https://www.imdb.com//title/tt4434004/,2016,7.8,148,"['Action', 'Crime', 'Drama']",28043,,,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.
590,Kubo and the Two Strings,https://www.imdb.com//title/tt4302938/,2016,7.8,101,"['Animation', 'Action', 'Adventure']",120774,84.0,$48.02M,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
591,Manchester by the Sea,https://www.imdb.com//title/tt4034228/,2016,7.8,137,['Drama'],255621,96.0,$47.70M,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
592,Land of Mine,https://www.imdb.com//title/tt3841424/,2015,7.8,100,"['Drama', 'History', 'War']",37296,75.0,$0.44M,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight."
593,Rogue One,https://www.imdb.com//title/tt3748528/,2016,7.8,133,"['Action', 'Adventure', 'Sci-Fi']",569989,65.0,$532.18M,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.
594,Captain America: Civil War,https://www.imdb.com//title/tt3498820/,2016,7.8,147,"['Action', 'Adventure', 'Sci-Fi']",689298,75.0,$408.08M,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
595,The Hateful Eight,https://www.imdb.com//title/tt3460252/,2015,7.8,168,"['Crime', 'Drama', 'Mystery']",535086,68.0,$54.12M,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
596,Little Women,https://www.imdb.com//title/tt3281548/,2019,7.8,135,"['Drama', 'Romance']",156321,91.0,$108.10M,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
597,Loving Vincent,https://www.imdb.com//title/tt3262342/,2017,7.8,94,"['Animation', 'Biography', 'Crime']",52676,62.0,$6.74M,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there."
598,Pride,https://www.imdb.com//title/tt3169706/,2014,7.8,119,"['Biography', 'Comedy', 'Drama']",53081,79.0,,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.
599,Nightcrawler,https://www.imdb.com//title/tt2872718/,2014,7.8,117,"['Crime', 'Drama', 'Thriller']",482938,76.0,$32.38M,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
