,title,link,year,rating,runtime_mins,genres,votes,metascore,gross,synopsis
13,"The Good, the Bad and the Ugly",https://www.imdb.com//title/tt0060196/,1966,8.8,148,['Western'],703209,90,$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
14,Drishyam 2,https://www.imdb.com//title/tt12361178/,2021,8.7,152,"['Crime', 'Drama', 'Thriller']",27217,,,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
15,The Lord of the Rings: The Two Towers,https://www.imdb.com//title/tt0167261/,2002,8.7,179,"['Action', 'Adventure', 'Drama']",1518295,87,$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
16,The Matrix,https://www.imdb.com//title/tt0133093/,1999,8.7,136,"['Action', 'Sci-Fi']",1718406,73,$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
17,Goodfellas,https://www.imdb.com//title/tt0099685/,1990,8.7,146,"['Biography', 'Crime', 'Drama']",1047723,90,$46.84M,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
18,Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com//title/tt0080684/,1980,8.7,124,"['Action', 'Adventure', 'Fantasy']",1183334,82,$290.48M,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
19,One Flew Over the Cuckoo's Nest,https://www.imdb.com//title/tt0073486/,1975,8.7,133,['Drama'],936901,84,$112.00M,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
20,Parasite,https://www.imdb.com//title/tt6751668/,2019,8.6,132,"['Comedy', 'Drama', 'Thriller']",620578,96,$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
21,Interstellar,https://www.imdb.com//title/tt0816692/,2014,8.6,169,"['Adventure', 'Drama', 'Sci-Fi']",1570541,74,$188.02M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
22,City of God,https://www.imdb.com//title/tt0317248/,2002,8.6,130,"['Crime', 'Drama']",711622,79,$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
23,Spirited Away,https://www.imdb.com//title/tt0245429/,2001,8.6,125,"['Animation', 'Adventure', 'Family']",675199,96,$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
24,Saving Private Ryan,https://www.imdb.com//title/tt0120815/,1998,8.6,169,"['Drama', 'War']",1268454,91,$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
25,The Green Mile,https://www.imdb.com//title/tt0120689/,1999,8.6,189,"['Crime', 'Drama', 'Fantasy']",1179131,61,$136.80M,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
26,Life Is Beautiful,https://www.imdb.com//title/tt0118799/,1997,8.6,116,"['Comedy', 'Drama', 'Romance']",639405,,$57.60M,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
27,Seven,https://www.imdb.com//title/tt0114369/,1995,8.6,127,"['Crime', 'Drama', 'Mystery']",1484349,65,$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
28,The Silence of the Lambs,https://www.imdb.com//title/tt0102926/,1991,8.6,118,"['Crime', 'Drama', 'Thriller']",1304610,85,$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
29,Star Wars: Episode IV - A New Hope,https://www.imdb.com//title/tt0076759/,1977,8.6,121,"['Action', 'Adventure', 'Fantasy']",1255382,90,$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
30,Harakiri,https://www.imdb.com//title/tt0056058/,1962,8.6,133,"['Action', 'Drama', 'Mystery']",45764,85,,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
31,Pather Panchali,https://www.imdb.com//title/tt0048473/,1955,8.6,125,['Drama'],25911,,$0.54M,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
32,Seven Samurai,https://www.imdb.com//title/tt0047478/,1954,8.6,207,"['Action', 'Adventure', 'Drama']",322608,98,$0.27M,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
33,It's a Wonderful Life,https://www.imdb.com//title/tt0038650/,1946,8.6,130,"['Drama', 'Family', 'Fantasy']",413970,89,,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
34,Raatchasan,https://www.imdb.com//title/tt7060344/,2018,8.5,170,"['Action', 'Crime', 'Thriller']",31232,,,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
35,Whiplash,https://www.imdb.com//title/tt2582802/,2014,8.5,106,"['Drama', 'Music']",744062,88,$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
36,Untouchable,https://www.imdb.com//title/tt1675434/,2011,8.5,112,"['Biography', 'Comedy', 'Drama']",781976,,$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
37,The Prestige,https://www.imdb.com//title/tt0482571/,2006,8.5,130,"['Drama', 'Mystery', 'Sci-Fi']",1221406,66,$53.09M,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
